Brand Name,Name of the Product,Rating,No. of Ratings,Price,Return/Exchange,Expected Delivery,Availability,Product URL
Visit the JUAREZ Store,"Juarez JRZ-ST02 6-String 38 Inches Wood Electric Guitar, Right Handed, Red With Case/Bag And Picks",4.2 out of 5,214 ratings,"5,749",Pay on Delivery,"Wednesday, 6 September",In stock,https://www.amazon.in/Juarez-JRZ-ST01-6-String-Electric-Without/dp/B01FYZSOHG/ref=sr_1_34?keywords=guitar&qid=1693750407&sr=8-34
Visit the JUAREZ Store,"Juârez JRZ38C/VTS 6 Strings Acoustic Guitar 38 Inch Cutaway, Right Handed, Violet/Purple with Bag, Strings, Picks and Strap",3.9 out of 5,"5,549 ratings","2,649",Pay on Delivery,"Thursday, 7 September",In stock,https://www.amazon.in/JRZ38C-VTS-Strings-Acoustic-Cutaway/dp/B072MFLQC9/ref=sr_1_35?keywords=guitar&qid=1693750407&sr=8-35
Visit the Intern Store,"Intern INT-38C-BK-G Cutaway Right Handed Acoustic Guitar Kit, with Bag, Nickel Strings, Pick And Strap (Black) -6 Strings",4 out of 5,"1,685 ratings","2,019",Pay on Delivery,"Thursday, 7 September",In stock,https://www.amazon.in/Intern-INT-38C-BK-G-Guitar-Kit-Black/dp/B07K9497RC/ref=sr_1_36?keywords=guitar&qid=1693750407&sr=8-36
Brand: Medellin,"Medellin Acoustic Guitar (with guitar learning course) Neon Orange (Combo, Strings,Bag,Picks and guitar course)",5 out of 5,1 rating,"2,499",Pay on Delivery,"Thursday, 7 September",In stock,https://www.amazon.in/Medellin-Acoustic-Guitar-learning-Strings/dp/B0CCNSN6S4/ref=sr_1_37?keywords=guitar&qid=1693750407&sr=8-37
Brand: allmusicmart,"“ALL WOODEN” 38” INCH Guitar Combo Pack For Beginner Adults Childs Starter Bundle Kit,Dual Action Truss Rod, Gigbag, Picks, String Set, String Winder,Strap,Matt Black",-,-,"2,850",Secure transaction,8 - 11 September,-,https://www.amazon.in/WOODEN-Guitar-Beginner-Adults-Starter/dp/B0C816MJ4Y/ref=sr_1_38?keywords=guitar&qid=1693750407&sr=8-38
Brand: Medellin,"Medellin Acoustic Guitar (with guitar learning course) Neon Pink (Combo, Strings,Bag,Picks and guitar course)",5 out of 5,2 ratings,"2,499",Pay on Delivery,"Thursday, 7 September",-,https://www.amazon.in/Medellin-Acoustic-Guitar-learning-Strings/dp/B0CCNSN9BV/ref=sr_1_39?keywords=guitar&qid=1693750407&sr=8-39
Brand: Medellin,"Medellin 38” Acoustic Guitar with (free learning course), Picks and Bag",-,-,"2,299",Pay on Delivery,"Thursday, 7 September",In stock,https://www.amazon.in/Medellin-Acoustic-Guitar-learning-course/dp/B0CGRX6ZMF/ref=sr_1_40?keywords=guitar&qid=1693750407&sr=8-40
Visit the Intern Store,Intern Int-38c Linden Wood Acoustic Guitar Kit with Carry Bag and Picks (Brown),3.9 out of 5,"2,587 ratings","2,089",Pay on Delivery,"Thursday, 7 September",In stock,https://www.amazon.in/Intern-INT-38C-Brown-Acoustic-Guitar/dp/B07X2HV158/ref=sr_1_41?keywords=guitar&qid=1693750407&sr=8-41
Visit the Kadence Store,Kadence GenZ Guitar (with Guitar learning course) Acoustic Guitar with Die Cast Keys and Bag (Lavender),5 out of 5,1 rating,"6,299",Pay on Delivery,"Thursday, 7 September",In stock,https://www.amazon.in/Kadence-Guitar-learning-Acoustic-Lavender/dp/B0CD4CNSPJ/ref=sr_1_42?keywords=guitar&qid=1693750407&sr=8-42
Visit the Kadence Store,"Kadence Frontier guitar with Online Guitar learning course , Wine Red Acoustic Guitar with Die Cast Keys, Set of Strings, Strap, Picks and Bag (Wine Red, Acoustic)",3.9 out of 5,"2,957 ratings","4,999",Pay on Delivery,"Thursday, 7 September",In stock,https://www.amazon.in/Kadence-Frontier-Acoustic-Guitar-Strings/dp/B01GDZ46AA/ref=sr_1_43?keywords=guitar&qid=1693750407&sr=8-43
Visit the JUAREZ Store,"Juarez Lindenwood Acoustic Guitar, 38 Inches Curved Body Cutaway, 38CUR With Bag, Strings, Pick And Strap (Black)",4 out of 5,"2,646 ratings","2,439",Pay on Delivery,"Thursday, 7 September",In stock,https://www.amazon.in/Juarez-Acoustic-Guitar-Cutaway-Strings/dp/B076QHZ4HZ/ref=sr_1_44?keywords=guitar&qid=1693750407&sr=8-44
Visit the Intern Store,"Intern INT-38C 38 Incheses basswood-BLS-G Cutaway Right HAnded Acoustic Guitar Kit, With Bag, Strings, Pick And Strap (Blue, 6 Strings)",4 out of 5,"1,685 ratings","2,149",Pay on Delivery,"Thursday, 7 September",In stock,https://www.amazon.in/Intern-INT-38C-BLS-G-Guitar-Kit-Blue/dp/B07K8YXTNW/ref=sr_1_45?keywords=guitar&qid=1693750407&sr=8-45
Visit the Intern Store,Intern Int-38c Sunburst Linden Wood Acoustic Guitar Kit with Carry Bag and Picks,3.9 out of 5,"2,587 ratings","2,089",Pay on Delivery,"Thursday, 7 September",In stock,https://www.amazon.in/Intern-INT-38C-Sunburst-Acoustic-Guitar/dp/B07X1J4D3Z/ref=sr_1_46?keywords=guitar&qid=1693750407&sr=8-46
Visit the blueberry Store,"Blueberry 38C, 38"" Acoustic Guitar Kit with Bag, Strap, One Pack Strings And Picks (Black)",4.2 out of 5,42 ratings,"2,425",Pay on Delivery,"Friday, 8 September",In stock,https://www.amazon.in/Blueberry-38C-Acoustic-Guitar-Strings/dp/B08KLMV4XX/ref=sr_1_47?keywords=guitar&qid=1693750407&sr=8-47
Visit the Intern Store,"Intern INT-38C-NT-G 38 Incheses lindenwood Right HAnded Acoustic Guitar Kit With Bag, Strings, Pick And Strap (Natural, 6-Strings)",4 out of 5,"1,685 ratings","2,279",Pay on Delivery,"Thursday, 7 September",In stock,https://www.amazon.in/Intern-INT-38C-NT-G-Guitar-Kit-Natural/dp/B07K9MZZH9/ref=sr_1_48?keywords=guitar&qid=1693750407&sr=8-48
Visit the JUAREZ Store,"Juarez Acoustic Guitar, [ LEFT HANDED] 38 Inch Cutaway, 38CL/BK with Bag, Strings, Pick and Strap, Black",3.8 out of 5,779 ratings,"2,649",Pay on Delivery,"Thursday, 7 September",In stock,https://www.amazon.in/Juarez-Acoustic-Cutaway-BK-Strings/dp/B076T3RHMG/ref=sr_1_49?keywords=guitar&qid=1693750407&sr=8-49
Visit the Intern Store,"Intern INT-38C-L-SB Left Hand Acoustic Guitar Kit, With Bag, Strings, Pick And Strap (Sunburst)",3.6 out of 5,178 ratings,"2,459",Pay on Delivery,"Thursday, 7 September",In stock,https://www.amazon.in/Intern-INT-38C-L-SB-Acoustic-Guitar-Sunburst/dp/B07J5B69MB/ref=sr_1_50?keywords=guitar&qid=1693750407&sr=8-50
Visit the YAMAHA Store,YAMAHA FS80C BLACK CONCERT CUTAWAY GUITAR,4.1 out of 5,42 ratings,"1,999",1 Year Warranty,,,https://www.amazon.in/YAMAHA-FS80C-CONCERT-CUTAWAY-GUITAR/dp/B08WBBVMVJ/ref=sr_1_51?keywords=guitar&qid=1693750407&sr=8-51
Visit the Kadence Store,"Kadence Frontier 34inch guitar for Kids, Travel Guitar for Adult Acoustic Guitar with Die Cast Keys, Set of Strings, Strap, Picks and Bag (Black Guitar)",3.8 out of 5,70 ratings,"2,999",Pay on Delivery,"Thursday, 7 September",In stock,https://www.amazon.in/Kadence-Professional-Guitar-Years-Strings/dp/B07YZK5B2Z/ref=sr_1_52?keywords=guitar&qid=1693750407&sr=8-52
Visit the blueberry Store,"Blueberry, VIP-340, 34Inch Acoustic Guitar Kit With Bag, Belt, String Set and 2 Picks (Black)",2.5 out of 5,2 ratings,"2,999",Pay on Delivery,"Friday, 8 September",In stock,https://www.amazon.in/Blueberry-VIP-340-34Inch-Acoustic-Guitar/dp/B0BVR4M8MC/ref=sr_1_53?keywords=guitar&qid=1693750407&sr=8-53
Visit the YAMAHA Store,Yamaha 22.8 Inches Merantiwood Classical Guitar C40//02 (Brown),4.3 out of 5,"2,818 ratings","7,600",Pay on Delivery,"Friday, 8 September",In stock,https://www.amazon.in/Yamaha-Classical-Guitar-C40-02/dp/B003UGCUFE/ref=sr_1_54?keywords=guitar&qid=1693750407&sr=8-54
Visit the Intern Store,"INTERN Cutaway Design Acoustic Guitar Pack -Humidity Proof, Bend resistant, Durable Action, Natural tone & resonance. Natural Carbon Fibre/Fiber Guitar with Bag, Strap, Strings set & Plectrums.",3.7 out of 5,56 ratings,"2,499",Pay on Delivery,"Thursday, 7 September",In stock,https://www.amazon.in/Acoustic-Humidity-resistant-resonance-Plectrums/dp/B09RQZG25Q/ref=sr_1_55?keywords=guitar&qid=1693750407&sr=8-55
